name,party,committee,district,representative_bills,co_sponsor_bills,total_bills,legislative_score,legislative_grade,collaboration_strength,quality_score,quality_grade,is_cluster_member,cluster_bonus,final_score,final_grade
김승수,국민의힘,문화체육관광위원회,대구 북구을/대구 북구을,160,0,160,619.88,S+,4809.257894736842,14.625,A,True,50,297.577,S+
김선교,국민의힘,농림축산식품해양수산위원회,경기 여주시양평군/경기 여주시양평군,150,0,150,579.7,S+,4335.505263157895,15.666666666666666,A+,True,50,282.5466666666667,S+
권영세,국민의힘,"정보위원회, 기획재정위원회",서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,130,0,130,500.75,S+,3449.1000000000004,15.384615384615385,A+,True,50,250.6846153846154,S+
김정재,국민의힘,국토교통위원회,경북 포항시북구/경북 포항시북구/경북 포항시북구,70,0,70,476.83,S+,5625.1539473684215,16.714285714285715,A+,True,50,242.44628571428572,S+
김한규,더불어민주당,"산업통상자원중소벤처기업위원회, 여성가족위원회, 예산결산특별위원회",제주 제주시을/제주 제주시을,110,0,110,456.83,S+,3558.3000000000006,14.636363636363637,A,True,50,232.36836363636363,S+
김희정,국민의힘,국토교통위원회,부산광역시 연제구/부산 연제구/부산 연제구,100,0,100,441.8,S+,3852.9381578947373,14.7,A,True,50,226.42000000000002,S+
김성원,국민의힘,산업통상자원중소벤처기업위원회,경기 동두천시연천군/경기 동두천시연천군/경기 동두천시양주시연천구을,100,0,100,396.25,S+,3085.8763157894737,15.2,A+,True,50,208.7,S+
강유정,더불어민주연합,Unknown,비례대표,100,0,100,393.15,S+,2047.7947368421055,14.0,A,True,50,206.26,S+
문금주,더불어민주당,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",전남 고흥군보성군장흥군강진군,100,0,100,367.05,S+,2051.6000000000004,12.9,A,True,50,194.72000000000003,S
김영배,더불어민주당,"외교통일위원회, 국회운영위원회",서울 성북구갑/서울 성북구갑,80,0,80,358.81,S+,3431.8,15.0,A+,True,50,193.524,S
강대식,국민의힘,국방위원회,대구 동구을/대구 동구군위군을,90,0,90,358.58,S+,3083.7486842105263,13.777777777777779,A,True,50,192.20977777777776,S
김용만,더불어민주당,"정무위원회, 예산결산특별위원회",경기 하남시을,70,0,70,321.54,S+,3212.8250000000003,14.0,A,True,50,177.616,S
고민정,더불어민주당,"교육위원회, 예산결산특별위원회",서울 광진구을/서울 광진구을,50,0,50,302.4,S+,3809.9,13.6,A,True,50,169.55999999999997,S
구자근,국민의힘,산업통상자원중소벤처기업위원회,경북 구미시갑/경북 구미시갑,70,0,70,289.88,S+,2526.815789473684,14.714285714285714,A,True,50,165.66628571428572,S
김정호,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",경남 김해시을/경남 김해시을/경남 김해시을,70,0,70,286.96,S+,2368.5,14.428571428571429,A,True,50,164.2125714285714,S
곽규택,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",부산 서구동구,70,0,70,286.78,S+,2367.4,12.714285714285714,A,True,50,162.4262857142857,S
김상훈,국민의힘,정무위원회,대구 서구/대구 서구/대구 서구/대구 서구,30,0,30,269.33,S+,4171.069736842105,15.333333333333334,A+,True,50,158.06533333333334,S
김예지,국민의미래,보건복지위원회,비례대표/비례대표,60,0,60,249.07,S+,1835.5381578947367,15.5,A+,True,50,150.128,S
김선민,조국혁신당,보건복지위원회,비례대표,60,0,60,249.78,S+,2135.0276315789474,14.833333333333334,A,True,50,149.74533333333335,A+
김문수,더불어민주당,교육위원회,전남 순천시광양시곡성군구례군갑,60,0,60,247.67,S+,2418.6105263157897,12.833333333333334,A,True,50,146.90133333333333,A+
남인순,더불어민주당,"보건복지위원회, 연금개혁 특별위원회",비례대표/서울 송파구병/서울 송파구병/서울 송파구병,60,0,60,240.92,S+,2286.3,14.0,A,True,50,145.368,A+
김영진,더불어민주당,"기획재정위원회, 정보위원회",경기 수원시병/경기 수원시병/경기 수원시병,60,0,60,236.42,S+,2240.4,15.666666666666666,A+,True,50,145.23466666666667,A+
김윤덕,더불어민주당,문화체육관광위원회,전북 전주시완산구갑/전북 전주시갑/전북 전주시갑,60,0,60,241.67,S+,2476.867105263158,13.0,A,True,50,144.668,A+
김미애,국민의힘,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",부산 해운대구을/부산 해운대구을,30,0,30,236.37,S+,3247.9,14.0,A,True,50,143.548,A+
